INFO  - 2019-02-04 09:19:15.065; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.065; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:3
INFO  - 2019-02-04 09:19:15.066; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.068; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.068; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:2
INFO  - 2019-02-04 09:19:15.069; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.069; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:2
INFO  - 2019-02-04 09:19:15.070; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.070; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:2
INFO  - 2019-02-04 09:19:15.070; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
INFO  - 2019-02-04 09:19:15.071; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:2
INFO  - 2019-02-04 09:19:15.071; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
INFO  - 2019-02-04 09:19:15.072; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:2
INFO  - 2019-02-04 09:19:15.072; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:1
INFO  - 2019-02-04 09:19:15.072; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 6, Ball:2
INFO  - 2019-02-04 09:19:15.073; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:1
INFO  - 2019-02-04 09:19:15.073; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 7, Ball:2
INFO  - 2019-02-04 09:19:15.074; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:1
INFO  - 2019-02-04 09:19:15.074; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 8, Ball:2
INFO  - 2019-02-04 09:19:15.074; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:1
INFO  - 2019-02-04 09:19:15.075; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 9, Ball:2
INFO  - 2019-02-04 09:19:15.075; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:1
INFO  - 2019-02-04 09:19:15.076; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:2
INFO  - 2019-02-04 09:19:15.076; com.oracle.bowling.game.BowlingScoreCalculator; Updating Score for Last Frame:10
INFO  - 2019-02-04 09:19:15.076; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 10, Ball:3
ERROR - 2019-02-04 09:19:15.077; com.oracle.bowling.game.BowlingGameImpl; Invalid Number of Pins or Negative Pins entered
INFO  - 2019-02-04 09:19:15.081; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:1
INFO  - 2019-02-04 09:19:15.081; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 1, Ball:2
INFO  - 2019-02-04 09:19:15.082; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:1
INFO  - 2019-02-04 09:19:15.082; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 2, Ball:2
INFO  - 2019-02-04 09:19:15.082; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:1
INFO  - 2019-02-04 09:19:15.083; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 3, Ball:2
INFO  - 2019-02-04 09:19:15.083; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:1
INFO  - 2019-02-04 09:19:15.084; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 4, Ball:2
INFO  - 2019-02-04 09:19:15.084; com.oracle.bowling.game.BowlingGameImpl; Ball rolled, Frame: 5, Ball:1
